,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
9611519028_R03C02,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.02564102564102564,0.002352941176470588,0.0,0.0,0.0,0.0,-0.002932551319648094,-1.0,0.0,-0.007765314926660914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01278409090909091,0.0,0.005208333333333333,1.0,0.0,0.0,0.0,0.0
3998909027_R02C01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13964497041420118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9968646113_R05C02,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,-0.01301775147928994,0.0,0.004705882352941176,0.0,-0.03959390862944162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08687943262411348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07381776239907728,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9444374134_R01C01,0.6438356164383562,0.013736263736263736,-0.5230769230769231,0.0,0.0,0.0,-0.7030878859857482,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.07058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.12481644640234948,0.0,0.0,0.0,0.0,-0.009943181818181818,0.0,-0.203125,0.0,0.8768768768768769,1.0,0.19117647058823528,0.0
8622007118_R03C02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007766990291262136,0.0,0.0,0.0,0.0,0.0,0.0
3999834094_R05C01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.6796494644595911,-0.9992069785884219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010559662090813093,-0.015025041736227046,0.0,0.0,0.0,0.0,0.0,0.0,-0.06796116504854369,0.0,0.0,0.0,0.0,0.0,0.0
9969477123_R01C01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027218934911242602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7293086660175268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009503695881731784,0.0,0.0,0.0,0.0,-0.49732620320855614,-0.0034602076124567475,0.009943181818181818,0.0,0.0,0.8636363636363636,0.2882882882882883,0.0,0.0,0.0
9741950087_R02C02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014652014652014652,0.0,0.0,0.0,-0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.288135593220339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,-0.08408408408408409,0.0,0.0,0.0
9283265153_R05C02,0.0,0.019230769230769232,-0.46153846153846156,0.0,-0.0029585798816568047,-0.002317497103128621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.502868068833652,-0.41544117647058826,0.0
9878827229_R01C01,0.6712328767123288,-0.06043956043956044,0.0,0.21036269430051813,0.0,0.0,0.0,0.0,0.0,0.0,0.01411764705882353,0.0,0.006091370558375634,0.0,0.0,0.0,0.0,0.0,0.007765314926660914,0.0,0.0,0.0,-0.22372881355932203,0.0,-1.0,-1.0,0.0,0.0,0.0,-0.49447077409162715,0.0,0.0,-0.004261363636363636,0.0,0.0,0.0,0.0,0.9598470363288719,0.0,0.0
9855358018_R02C02,0.0,0.01510989010989011,-0.5076923076923077,-0.07150259067357513,0.0,0.0,0.0,0.0,0.0,0.014652014652014652,0.0,0.0,0.0,0.0,0.0,0.0,0.02044790652385589,0.0,-0.007765314926660914,0.0,0.0,0.0,0.0,0.0,0.0,-0.0031678986272439284,0.0,0.0,0.0,0.0,0.0,0.0,0.014204545454545454,0.0,0.0,0.525974025974026,0.006006006006006006,0.6577437858508605,0.0,0.0
9553932002_R05C02,0.7031963470319634,0.0,-0.34807692307692306,0.0,0.0,-0.06373117033603708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.17317845828933473,0.0,0.0,0.0,0.0,0.0,0.0,0.011363636363636364,0.0,0.0,0.4597402597402597,0.0,0.4110898661567878,-0.5073529411764706,0.0
9370847061_R02C02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9406921070_R06C01,0.0,0.0,1.0,1.0,0.0,-0.01853997682502897,0.0,0.0,0.027218934911242602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011363636363636364,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9769100008_R01C02,0.0,0.0,-0.013461538461538462,0.40621761658031086,0.0,-0.019698725376593278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01586042823156225,0.0,0.0,0.0,0.0,-0.04745762711864407,0.0,0.0,-0.026399155227032733,0.0,0.0,0.0,0.01263823064770932,0.0,0.0,0.009943181818181818,0.0,0.0,0.0,0.0,0.35181644359464626,0.0,0.0
