,10p,10q,11p,11q,12p,12q,13q,14q,15q,16p,16q,17p,17q,18p,18q,19p,19q,1p,1q,20p,20q,21p,21q,22q,2p,2q,3p,3q,4p,4q,5p,5q,6p,6q,7p,7q,8p,8q,9p,9q
glioma_mskcc_2019_154,-1.0,-1.0,0.0,-0.0031088082901554403,1.0,1.0,-0.1828978622327791,-1.0,1.0,-0.031135531135531136,-1.0,1.0,0.7725888324873097,1.0,1.0,0.0,0.0,0.9992069785884219,0.994823123382226,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.18355359765051396,-0.4509090909090909,-0.020537124802527645,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0,-0.06397774687065369
glioma_mskcc_2019_366,-1.0,-1.0,0.0,0.0,0.0,0.03592120509849363,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.035053554040895815,0.0,0.0638481449525453,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,-0.018363939899833055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9739583333333334,1.0,0.0,0.0,-0.16911764705882354,-0.06397774687065369
glioma_mskcc_2019_109,0.0,-0.03571428571428571,0.0,0.0,0.0,0.0,0.0,-0.0011918951132300357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06815968841285297,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.035058430717863104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.984375,1.0,0.0,0.0,-0.16911764705882354,-0.06397774687065369
glioma_mskcc_2019_304,0.0,-0.8104395604395604,0.0,-0.004145077720207254,0.0,-0.09385863267670916,0.0,0.0,0.0,-1.0,-1.0,0.0,-0.09441624365482233,0.0,0.0,1.0,0.03018500486854917,-0.0015860428231562252,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025454545454545455,0.06951026856240126,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
glioma_mskcc_2019_417,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,0.8123167155425219,-1.0,-0.9936558287073751,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,-0.02643171806167401,-1.0,-1.0,0.0,0.0,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0
glioma_mskcc_2019_346,-1.0,-1.0,0.0,-0.03730569948186528,0.6834319526627219,0.0,-0.6817102137767221,-0.39690107270560193,0.021301775147928994,-1.0,-1.0,-0.007334963325183374,-0.5766497461928934,-1.0,-1.0,1.0,-0.9980525803310614,-0.25931800158604285,0.0,0.0,0.2647702407002188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.31272727272727274,0.0,0.0,0.0,-1.0,-1.0,1.0,1.0,0.0,0.0,-0.6360294117647058,0.14325452016689846
glioma_mskcc_2019_367,-1.0,-1.0,0.0,0.0,0.0,0.0,0.1377672209026128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03171953255425709,0.0,0.0,0.0,-0.0053475935828877,0.0,-0.2940340909090909,-0.7883495145631068,1.0,1.0,0.0,0.0,-0.22794117647058823,0.0
glioma_mskcc_2019_143,-1.0,-1.0,0.0,0.0,-0.26331360946745563,-0.06141367323290846,0.0,0.0,-0.23550295857988165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0638481449525453,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.025454545454545455,0.06951026856240126,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,-0.34608030592734224,-0.7683823529411765,0.1043115438108484
glioma_mskcc_2019_106,-0.0502283105022831,-0.8846153846153846,0.0,-0.12124352331606218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.11197663096397274,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,-0.010559662090813094,0.0,0.0,-0.31272727272727274,0.0,0.0,0.0,0.0,0.0,0.057291666666666664,0.0,0.0,-0.045889101338432124,-0.45955882352941174,0.0
glioma_mskcc_2019_176,-1.0,-1.0,-0.2846153846153846,-0.14404145077720207,0.0,0.0,0.0,-1.0,-0.7254437869822485,0.0,0.0,-0.007334963325183374,-0.9949238578680203,0.0,0.0,0.9032258064516129,-0.2560856864654333,-0.4662965900079302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05175292153589316,0.0,0.13090909090909092,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,-0.11397058823529412,0.0
